lr,hidden_dim,score
1e-05,127,0.29668578693312514
1.438449888287663e-05,180,0.23608535852959084
2.06913808111479e-05,161,0.24703673765537174
2.9763514416313192e-05,133,0.26510551560465423
4.281332398719396e-05,190,0.19826369197391555
6.158482110660267e-05,173,0.20177097606783045
8.858667904100833e-05,208,0.1556815890716929
0.00012742749857031334,205,0.15978052472196178
0.00018329807108324357,45,0.3162451893717478
0.00026366508987303583,83,0.270061387506459
0.000379269019073225,79,0.2653927685359952
0.0005455594781168515,152,0.19709810234244984
0.0007847599703514606,57,0.2941000574615452
0.0011288378916846883,129,0.22785028667784638
0.001623776739188721,118,0.2259074739479763
0.002335721469090121,135,0.22166776076942513
0.003359818286283781,208,0.14423120376486973
0.004832930238571752,127,0.23703087205991089
0.0069519279617756054,113,0.24880539466341986
0.01,185,0.18079100991046543
